Land(0)/Sea(1)	Place	Castle(1)/Stronghold(2)	# of Supply	# of Crown	Adjacent Areas	
1	East Summer Sea	1	0	0	"Shipbreaker Bay, Sea of Dorne, Sunspear, Salt Shore, Starfall, West Summer Sea"	
1	West Summer Sea	1	0	0	"East Summer Sea, Starfall, The Arbor, Three Towers, Redwyne Straights"	
0	Starfall	2	1	0	"East Summer Sea, Salt Shore, Prince's Pass, Yronwood, West Summer Sea"	
0	Salt Shore	1	1	0	"East Summer Sea, Starfall, Yronwood, Sunspear"	
0	Yronwood	2	0	0	"Sea of Dorne, The Boneway, Sunspear, Salt Shore, Starfall, Prince's Pass"	
0	Sunspear	1	1	1	"Sea of Dorne, The Boneway, East Summer Sea, Salt Shore"	
0	Three Towers	1	1	0	"West Summer Sea, Redwyne Straights, Oldtown, Prince's Pass, Dornish Marches"	
0	Old Town	1	0	0	"Redwyne Straights, Three Towers, Dornish Marches, Highgarden"	
0	Prince's Pass	1	1	1	"Three Towers, Starfall, Yronwood, The Boneway, Dornish Marches"	
0	The Boneway	1	0	1	"Sea of Dorne, Yronwood, Prince's Pass, The Reach, Dornish Marches, Kingswood, Storms End"	
1	Sea of Dorne	1	0	0	"East Summer Sea, Sunspear, Yronwood, The Boneway, Storms End"	
1	Redwyne Straights	1	0	0	"West Summer Sea, Oldtown, Three Towers, Highgarden, The Arbor"	
0	The Arbor	1	0	1	"Redwyne Straights, West Summer Sea"	
0	Storms End	2	0	0	"Sea of Dorne, The Boneway, East Summer Sea, Shipbreaker Bay, Kingswood"	
0	Dornish Marches	1	0	1	"Three Towers, The Boneway, Prince's Pass, The Reach, Highgarden, Old Town"	
0	Highgarden	1	2	0	"Searoad Marches, The Reach, Dornish Marches, Old Town, Redwyne Straights"	
0	The Reach	2	0	0	"Searoad Marches, High Garden, Kingswood, The Boneway, Dornish Marches, King's Landing"	
0	Kingswood	1	1	1	"Storms End,  The Boneway, The Reach, King's Landing, Shipbreaker Bay, Blackwater Bay"	
0	Shipbreaker Bay	1	0	0	"East Summer Sea, Storms End, Kingswood, The Narrow Sea, Blackwater Bay, Crackclaw Point, Dragon Stone"	
0	Searoad Marches	1	1	0	"Blackwater, The Golden Sound, Lannisport, Stoney Sept, The Reach, Highgarden"	
0	Blackwater	1	2	0	"Searoad Marches, Stoney Sept, The Reach, King's Landing, Crackclaw Point, Harrenhal"	
0	King's Landing	1	0	2	"Crackclaw Point, Blackwater Bay, Blackwater, Kingswood, The Reach"	
1	Blackwater Bay	1	0	0	"Crackclaw Point, Kingswood, King's Landing, Shipbreaker Bay"	
1	The Golden Sound	1	0	0	"Searoad Marches, Lannisport, Ironman's Bay, Riverrun"	
0	Lannisport	1	2	0	"Searoad Marches, Ironman's Bay, Riverrun, Stoney Sept, Blackwater, The Golden Sound"	
0	Stoney Sept	1	0	1	"Searoad Marches, Lannisport, Riverrun, Harrenhal, Blackwater,"	
0	Harrenhal	2	0	1	"Crackclaw Point, Blackwater, Stoney Sept, Riverrun"	
0	Crackclaw Point	2	0	0	"The Mountains of the Moon, Harrenhal, Blackwater, King's Landing, Blackwater Bay, The Narrow Sea"	
0	Dragon Stone	1	1	1	Shipbreak Bay	
0	Riverrun	1	1	1	"Ironman's Bay, Lannisport, Stoney Sept, Harrenhal, Seacard, The Golden Sound"	
0	The Eyrie	2	1	1	"The Narrow Sea, The Mountains of the Moon"	
0	The Mountains of the Moon	1	1	0	"Crackclaw Point, The Eyrie, The Fingers, The Twins, The Narrow Sea"	
0	The Twins	1	0	1	"The Mountains of the Moon, The Narrow Sea, The Fingers, Moat Cailin, Seagard"	
0	The Fingers	1	1	0	"The Narrow Sea, The Twins, The Mountains of the Moon"	
0	Seagard	1	1	1	"Riverrun, The Ironman's Bay, Moat Cailin, Greywater Watch"	
1	Ironman's Bay	1	0	0	"Pyke, Sunset Sea, The Golden Sound, Flint's Finger, Greywater Watch, Seagard, Riverrun"	
0	Pyke	1	1	1	Ironman's Bay	
0	Moat Cailin	2	0	0	"Greywater Watch,  Seagard, The Twins, Narrow Sea, Winterfell, White Harbor"	
0	Flint's Finger	2	0	0	"Sunset Sea, Greywater Watch, Ironman's Bay, Bay of Ice"	
0	Greywater Watch	1	1	0	"Bay of Ice, Flint's Finger, Moat Cailin, Seagard, Ironman's Bay"	
1	Sunset Sea	1	0	0	"Ironman's Bay, Flint's Finger, The Golden Sound"	
1	The Narrow Sea	1	0	0	"The Shivering Sea, Widow's Watch, White Harbor, Moat Cailin, The Twins, The Fingers, The Mountains of the Moon, The Eyrie, Crackclaw Point, Shipbreaker Bay"	
0	The Stony Shore	1	1	0	"Bay of Ice, Winterfell"	
0	Winterfell	1	1	1	"The Stony Shore, Moat Cailin, White Harbor, Castle Black, Karhold"	
0	White Harbor	2	0	0	"Winterfell, The Narrow Sea, Widow's Watch, The Shivering Sea, Karhold, Moat Cailin"	
0	Widow's Watch	1	1	0	"The Shivering Sea, The Narrow Sea, White Harbor"	
1	The Shivering Sea	1	0	0	"The Narrow Sea, Widow's Watch, White Harbor, Winterfell, Karhold, Castle Black"	
0	Karhold	1	0	1	"The Shivering Sea, Castle Black, Winterfell"	
0	Castle Black	1	0	1	"Winterfell, Karhold, Bay of Ice,  The Shivering Sea"	
1	Bay of Ice	1	0	0	"Castle Black, Winterfell, The Stony Shore"	
